State,Year,August Palmer Modified Drought Index (PMDI)
Alabama,1974,1.99
Alabama,1975,4.54
Alabama,1976,2.28
Alabama,1977,-1.96
Alabama,1978,0.12
Alabama,1979,2.32
Alabama,1980,-1.58
Alabama,1981,-2.38
Alabama,1982,0.73
Alabama,1983,-0.28
Alabama,1984,1.42
Alabama,1985,0.96
Alabama,1986,-3.35
Alabama,1987,-1.64
Alabama,1988,-3.36
Alabama,1989,2.07
Alabama,1990,-1.74
Alabama,1991,1.34
Alabama,1992,1.49
Alabama,1993,-1.55
Alabama,1994,1.76
Alabama,1995,-1.53
Alabama,1996,0.46
Alabama,1997,1.75
Alabama,1998,-1.85
Alabama,1999,-1.0
Alabama,2000,-5.25
Alabama,2001,1.71
Alabama,2002,-1.92
Alabama,2003,4.61
Alabama,2004,1.21
Alabama,2005,3.65
Alabama,2006,-3.37
Alabama,2007,-5.05
Alabama,2008,0.2
Alabama,2009,1.32
Alabama,2010,-1.63
Alabama,2011,-3.87
Alabama,2012,-0.85
Alabama,2013,3.3
Alabama,2014,0.26
Alabama,2015,-0.65
Alabama,2016,-1.76
Alabama,2017,3.36
Alabama,2018,-0.45
Alabama,2019,-0.91
Alabama,2020,2.52
Alabama,2021,4.43
Alabama,2022,1.01
Alabama,2023,0.36
Arizona,1974,-3.37
Arizona,1975,-1.82
Arizona,1976,-1.72
Arizona,1977,-2.35
Arizona,1978,1.48
Arizona,1979,5.84
Arizona,1980,3.29
Arizona,1981,-2.39
Arizona,1982,1.18
Arizona,1983,5.72
Arizona,1984,2.11
Arizona,1985,1.18
Arizona,1986,-0.05
Arizona,1987,-0.32
Arizona,1988,1.83
Arizona,1989,-3.87
Arizona,1990,-0.78
Arizona,1991,-0.62
Arizona,1992,5.27
Arizona,1993,4.91
Arizona,1994,-2.77
Arizona,1995,0.95
Arizona,1996,-5.19
Arizona,1997,-3.71
Arizona,1998,2.61
Arizona,1999,0.97
Arizona,2000,-4.29
Arizona,2001,-0.61
Arizona,2002,-6.2
Arizona,2003,-3.88
Arizona,2004,-4.37
Arizona,2005,3.85
Arizona,2006,-3.05
Arizona,2007,-4.11
Arizona,2008,0.97
Arizona,2009,-4.06
Arizona,2010,1.36
Arizona,2011,-3.48
Arizona,2012,-2.82
Arizona,2013,-1.56
Arizona,2014,-2.33
Arizona,2015,-0.86
Arizona,2016,-1.91
Arizona,2017,-0.93
Arizona,2018,-4.08
Arizona,2019,-1.91
